,cutoff,P00,P01,P10,P11,msclaf_cost,youden_index
0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
1,0.05,1.0,0.0,1.0,0.0,2.0,0.0
2,0.1,1.0,0.0,1.0,0.0,2.0,0.0
3,0.15000000000000002,1.0,0.0,1.0,0.0,2.0,0.0
4,0.2,1.0,0.0,1.0,0.0,2.0,0.0
5,0.25,1.0,0.0,1.0,0.0,2.0,0.0
6,0.3,1.0,0.0,1.0,0.0,2.0,0.0
7,0.35,1.0,0.0,1.0,0.0,2.0,0.0
8,0.39999999999999997,0.9986327123568621,0.001367287643137925,0.9955423476968797,0.004457652303120356,1.9924519830368972,0.0030903646599824697
9,0.44999999999999996,0.9960690480259785,0.003930951974021535,0.9843982169390788,0.015601783060921248,1.9727273858521792,0.011670831086899813
10,0.49999999999999994,0.9921380960519569,0.00786190394804307,0.9517087667161961,0.048291233283803865,1.9112794373804352,0.04042932933576071
11,0.5499999999999999,0.9841052811485216,0.01589471885147838,0.9257057949479941,0.07429420505200594,1.8673063087474666,0.058399486200527484
12,0.6,0.9717996923602803,0.028200307639719705,0.8774145616641902,0.1225854383358098,1.7830294309681,0.09438513069609011
13,0.65,0.9475303366945821,0.05246966330541788,0.812035661218425,0.18796433878157504,1.6765409857422677,0.13549467547615723
14,0.7000000000000001,0.9029225773372073,0.09707742266279268,0.7147102526002972,0.2852897473997028,1.526497927863387,0.18821232473691007
15,0.7500000000000001,0.8184925653734404,0.18150743462655955,0.5846953937592868,0.41530460624071325,1.350898222145133,0.2337971716141536
16,0.8000000000000002,0.6665527260297385,0.33344727397026147,0.3848439821693908,0.6151560178306092,1.1031352383090431,0.2817087438603476
17,0.8500000000000002,0.46795419586395487,0.5320458041360451,0.2199108469539376,0.7800891530460624,0.9718674980439203,0.24804334891001734
18,0.9000000000000002,0.24354811143394292,0.756451888566057,0.08766716196136701,0.912332838038633,0.931786212488791,0.1558809494725759
19,0.9500000000000003,0.049564177063749784,0.9504358229362502,0.01188707280832095,0.9881129271916791,0.9742099685528921,0.03767710425542892
